,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
115,6.0,128,10,"[14, 11, 9, 0, 2, 5, 1, 19, 19, 11, 15, 17, 7, 3, 17, 19, 8, 4, 14, 18]",10.572984237998753,9,2048
116,5.0,256,10,"[13, 11, 9, 0, 2, 5, 1, 19, 19, 11, 15, 17, 7, 3, 17, 19, 8, 4, 14, 18]",10.774686324999493,9,2048
117,3.0,512,10,"[13, 16, 9, 0, 2, 5, 1, 19, 19, 11, 15, 17, 6, 3, 17, 19, 8, 4, 14, 18]",11.103238300998783,9,2048
118,2.0,1024,10,"[13, 16, 9, 0, 2, 5, 1, 19, 19, 11, 15, 12, 6, 3, 17, 19, 8, 4, 14, 18]",11.689551679999568,9,2048
119,2.0,2048,10,"[13, 16, 9, 0, 2, 5, 1, 19, 19, 11, 15, 12, 6, 3, 17, 19, 8, 4, 14, 18]",11.864413328999944,9,2048
120,19.0,0,10,"[11, 8, 5, 6, 9, 16, 13, 1, 0, 0, 14, 3, 10, 4, 7, 10, 10, 6, 11, 14]",11.950488037000468,10,2048
121,19.0,2,10,"[11, 8, 5, 6, 9, 16, 13, 1, 0, 0, 14, 3, 10, 4, 7, 10, 10, 6, 11, 14]",11.952808867998101,10,2048
122,17.0,4,10,"[11, 8, 5, 6, 9, 16, 13, 1, 12, 0, 14, 3, 10, 4, 7, 10, 10, 6, 11, 14]",12.042645022997021,10,2048
123,14.0,8,10,"[11, 3, 5, 6, 9, 16, 13, 1, 12, 0, 14, 3, 10, 4, 7, 0, 10, 6, 11, 14]",12.134177924999676,10,2048
124,12.0,16,10,"[12, 3, 5, 6, 9, 16, 13, 1, 12, 0, 15, 3, 10, 4, 7, 0, 10, 6, 11, 14]",12.230370359000517,10,2048
125,11.0,32,10,"[12, 3, 5, 6, 9, 16, 13, 1, 12, 2, 15, 3, 10, 4, 7, 0, 10, 6, 11, 14]",12.333586092998303,10,2048
